"key","lat","lon","order","family","genus","species","year","vernacularName"
963501765,46.9244,-121.665,"Passeriformes","Fringillidae","Haemorhous","Haemorhous cassinii",2013,"Cassin's Finch"
963605587,46.9244,-121.665,"Apodiformes","Apodidae","Chaetura","Chaetura vauxi",2013,"Vaux's Swift"
963623897,46.9244,-121.665,"Piciformes","Picidae","Colaptes","Colaptes auratus",2013,"Northern Flicker"
963709322,46.915,-121.641,"Passeriformes","Paridae","Poecile","Poecile gambeli",2013,"Mountain Chickadee"
963829107,46.7871,-121.734,"Passeriformes","Hirundinidae","Hirundo","Hirundo rustica",2013,"Barn Swallow"
964156063,46.8503,-121.752,"Passeriformes","Parulidae","Leiothlypis","Leiothlypis celata",2013,"Orange-crowned Warbler"
969185406,46.9244,-121.665,"Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus",2013,"Sooty Grouse"
969190053,46.9244,-121.665,"Passeriformes","Sittidae","Sitta","Sitta canadensis",2013,"Red-breasted Nuthatch"
1187955914,46.7817,-121.72,"Passeriformes","Corvidae","Perisoreus","Perisoreus canadensis",2013,"Gray Jay"
1205546126,46.915,-121.641,"Passeriformes","Tyrannidae","Contopus","Contopus cooperi",2013,"Olive-sided Flycatcher"
1191886282,46.915,-121.641,"Apodiformes","Apodidae","Chaetura","Chaetura vauxi",2013,"Vaux's Swift"
1191895836,46.9026,-121.555,"Passeriformes","Paridae","Poecile","Poecile rufescens",2013,"Chestnut-backed Chickadee"
1187955966,46.7817,-121.72,"Galliformes","Phasianidae","Dendragapus","Dendragapus fuliginosus",2013,"Sooty Grouse"
961566112,46.915,-121.641,"Passeriformes","Fringillidae","Spinus","Spinus pinus",2013,"Pine Siskin"
961946205,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2013,"Spotted Towhee"
962263350,46.9244,-121.665,"Passeriformes","Turdidae","Sialia","Sialia currucoides",2013,"Mountain Bluebird"
1191886234,46.915,-121.641,"Passeriformes","Turdidae","Sialia","Sialia currucoides",2013,"Mountain Bluebird"
962679306,46.9244,-121.665,"Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis",2013,"Red-tailed Hawk"
962689448,46.915,-121.641,"Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis",2013,"Red-tailed Hawk"
962735493,46.9244,-121.665,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
962741896,46.9244,-121.665,"Passeriformes","Turdidae","Sialia","Sialia currucoides",2013,"Mountain Bluebird"
962742297,46.9244,-121.665,"Passeriformes","Paridae","Poecile","Poecile gambeli",2013,"Mountain Chickadee"
962748585,46.9244,-121.665,"Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina",2013,"Evening Grosbeak"
962750909,46.9244,-121.665,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
962766954,46.9244,-121.665,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
962767781,46.9244,-121.665,"Galliformes","Phasianidae","Lagopus","Lagopus leucura",2013,"White-tailed Ptarmigan"
962873997,46.8748,-121.518,"Passeriformes","Emberizidae","Spizella","Spizella passerina",2013,"Chipping Sparrow"
962874590,46.8748,-121.518,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
962884893,46.9023,-121.842,"Piciformes","Picidae","Picoides","Picoides villosus",2013,"Hairy Woodpecker"
962971671,46.9123,-121.639,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
962971744,46.9123,-121.639,"Passeriformes","Corvidae","Nucifraga","Nucifraga columbiana",2013,"Clark's Nutcracker"
962972217,46.9123,-121.639,"Piciformes","Picidae","Colaptes","Colaptes auratus",2013,"Northern Flicker"
962972383,46.9123,-121.639,"Passeriformes","Sittidae","Sitta","Sitta canadensis",2013,"Red-breasted Nuthatch"
962991487,46.9212,-121.688,"Passeriformes","Emberizidae","Spizella","Spizella passerina",2013,"Chipping Sparrow"
962993656,46.9212,-121.688,"Passeriformes","Turdidae","Myadestes","Myadestes townsendi",2013,"Townsend's Solitaire"
963173148,46.7609,-122.019,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
963173888,46.7609,-122.019,"Passeriformes","Emberizidae","Melospiza","Melospiza melodia",2013,"Song Sparrow"
963175354,46.7702,-121.731,"Passeriformes","Certhiidae","Certhia","Certhia americana",2013,"Brown Creeper"
963199134,46.7609,-122.019,"Passeriformes","Cardinalidae","Pheucticus","Pheucticus melanocephalus",2013,"Black-headed Grosbeak"
963213428,46.915,-121.641,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
963272249,46.915,-121.641,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
963272425,46.915,-121.641,"Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina",2013,"Evening Grosbeak"
963272856,46.915,-121.641,"Piciformes","Picidae","Colaptes","Colaptes auratus",2013,"Northern Flicker"
963380004,46.785,-121.741,"Passeriformes","Fringillidae","Hesperiphona","Hesperiphona vespertina",2013,"Evening Grosbeak"
963381303,46.785,-121.741,"Passeriformes","Fringillidae","Pinicola","Pinicola enucleator",2013,"Pine Grosbeak"
963383689,46.785,-121.741,"Passeriformes","Fringillidae","Spinus","Spinus pinus",2013,"Pine Siskin"
963383984,46.785,-121.741,"Apodiformes","Trochilidae","Selasphorus","Selasphorus rufus",2013,"Rufous Hummingbird"
963405412,46.785,-121.741,"Passeriformes","Corvidae","Corvus","Corvus brachyrhynchos",2013,"American Crow"
963457223,46.915,-121.641,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
963463946,46.9244,-121.665,"Passeriformes","Emberizidae","Pooecetes","Pooecetes gramineus",2013,"Vesper Sparrow"
963464050,46.9244,-121.665,"Galliformes","Phasianidae","Lagopus","Lagopus leucura",2013,"White-tailed Ptarmigan"
963464248,46.9244,-121.665,"Passeriformes","Parulidae","Setophaga","Setophaga coronata",2013,"Yellow-rumped Warbler"
963466716,46.915,-121.641,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
963511690,46.9146,-121.643,"Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii",2013,"Cooper's Hawk"
963563989,46.7609,-122.019,"Passeriformes","Corvidae","Cyanocitta","Cyanocitta stelleri",2013,"Steller's Jay"
963611048,46.915,-121.641,"Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis",2013,"Red-tailed Hawk"
963612058,46.915,-121.641,"Passeriformes","Parulidae","Setophaga","Setophaga townsendi",2013,"Townsend's Warbler"
963615553,46.7871,-121.734,"Passeriformes","Parulidae","Setophaga","Setophaga coronata",2013,"Yellow-rumped Warbler"
963691467,46.9026,-121.641,"Apodiformes","Apodidae","Chaetura","Chaetura vauxi",2013,"Vaux's Swift"
963770589,46.915,-121.641,"Passeriformes","Corvidae","Nucifraga","Nucifraga columbiana",2013,"Clark's Nutcracker"
963780342,46.915,-121.641,"Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis",2013,"Red-tailed Hawk"
963781030,46.915,-121.641,"Passeriformes","Turdidae","Turdus","Turdus migratorius",2013,"American Robin"
963786670,46.7609,-122.019,"Passeriformes","Fringillidae","Haemorhous","Haemorhous purpureus",2013,"Purple Finch"
963820469,46.7883,-121.735,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
963820537,46.7883,-121.735,"Passeriformes","Fringillidae","Pinicola","Pinicola enucleator",2013,"Pine Grosbeak"
963938456,46.915,-121.641,"Passeriformes","Parulidae","Geothlypis","Geothlypis tolmiei",2013,"MacGillivray's Warbler"
963947843,46.757,-121.698,"Passeriformes","Parulidae","Setophaga","Setophaga townsendi",2013,"Townsend's Warbler"
963948020,46.757,-121.698,"Passeriformes","Turdidae","Ixoreus","Ixoreus naevius",2013,"Varied Thrush"
964120881,46.8503,-121.752,"Passeriformes","Paridae","Poecile","Poecile gambeli",2013,"Mountain Chickadee"
1191886289,46.915,-121.641,"Galliformes","Phasianidae","Lagopus","Lagopus leucura",2013,"White-tailed Ptarmigan"
1191906759,46.915,-121.641,"Passeriformes","Bombycillidae","Bombycilla","Bombycilla cedrorum",2013,"Cedar Waxwing"
961674482,46.7871,-121.734,"Passeriformes","Emberizidae","Junco","Junco hyemalis",2013,"Dark-eyed Junco"
961676866,46.915,-121.641,"Passeriformes","Corvidae","Corvus","Corvus corax",2013,"Common Raven"
961730671,46.7609,-122.019,"Passeriformes","Emberizidae","Pipilo","Pipilo maculatus",2013,"Spotted Towhee"
